nazwa,pojemnosc_uzytkowa_chlodziarki,pojemnosc_uzytkowa_zamrazarki,do zabudowy,cena
Amica FK2695,161,70,0,1999
Samsung RB34T635EBN,227,114,0,2599
 Haier 3-drzwiowa HTR5719ENPT,310,140,0,3999
Sharp SJ-BA05DMXWF-EU,195,75,0,1689
LG GBB92MCACP,277,107,1,3399
Beko B3RCNA344HXB,209,92,0,2099
Samsung Bespoke RB38A7B5E22,276,114,0,3680
Amica FK2515.4UTX ,183,84,0,1449
 Bosch KGN49XIEA,330,108,1,3099
Sharp SJ-BB05DTXLF-EU,204,84,0,1449
Liebherr GKw 1455-1,204,84,1,1449
